                                         s                                         | ind 
 53167892467 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167894262 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167894264 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167894267 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267419864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267419867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267491864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267491867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267819464 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267819467 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267891464 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53267891467 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53427619862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53427619867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53427691862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53427691867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467219862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467219867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467291862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467291867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467819262 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467819267 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467891262 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53467891267 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 531276498624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276498627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276498642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276498647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276498672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276498674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276894674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531276948674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672498674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672894674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531672948674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674892624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674892627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674892642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674892647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674892672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
